paperId,editionId,pages
b34afb68d199db7b6ac1ff8012b6e21feb147ed6,8ea396cf-144f-4858-a0fa-3f98e912cea5,1991-1996
c00ab6315da3385377a70f237454371201b70019,7490a3b8-fe09-49a9-ad03-bd19d97090af,171-181
708ecd005a18a78c542ee9ce07a7108a74b83520,30df5c89-7bfa-42d9-bf42-77533a936615,1-6
115a24c2d9e056766403a9971127f4f140f5ca79,c8ba3bf3-0957-47a7-922b-d0749ed938d0,5277-5290
65ad98e429e87810d92e41153f08fd066e76172d,bccafab1-de7e-46fc-8a82-4be7e853f280,667-673
374eee30550057f01a3ac091d8a8205bd2116c69,c76d2c0e-6b11-4d50-b3e2-be209a91c379,146-155
d87cd52bc13d40357c3f3aacf9e15b658941a5ba,57ecd68d-e31b-4720-988d-1bd9a86b574c,1-8
b60f779eef50e6d5152d2c77784659a7fb71a838,9648753a-bed2-44cf-8b45-10276917fae3,439-446
53f1032d66692693817babc3af52dbc4e6ccb7ca,a4e2607b-9590-4bfe-b592-1b84d3c0b066,1-7
4f7bbcef3d40cafad17936fdf562a121667af1e8,1c7bb804-267b-4049-90a7-106a6b3aa5d9,10208-10216
af2788415f6a5cc52f1f98ad06b7d4c1943ae073,69575fb2-34a6-454f-b1f3-61c04f6bf654,2287-2298
b5325cc4bf15000a4265dfc3caba60b85a308f48,638666b5-28b4-4954-bb44-13ae32af8d06,1-4
c7b2eb27e4e1c82a36ae518a42073ea736ee5e5f,69575fb2-34a6-454f-b1f3-61c04f6bf654,121-133
c209c79e3af303513ecf6adbc5bcf33a26537cc3,c8ba3bf3-0957-47a7-922b-d0749ed938d0,
da36f30e64e766058633a391bc2db5c6b3a7246e,3b5bd6a5-8370-4ad2-978c-6b50de154653,101-107
461bb0ec99173384c435f170f5237080c4be8bab,9cb5f935-43a7-479d-ba56-2ff911fde4e4,6259-6264
9da116751e381fa9f0598c5bc21eb0bce3463302,638666b5-28b4-4954-bb44-13ae32af8d06,8-11
80f919f0d7038b953d5d4b91b350880227fd3c5a,ff8338fb-9fb5-4247-824e-5cdab2491ca7,
6a39c5a97d5bf0462a6fa397856937f8e96d3a83,b22d0d73-4dd9-45c8-a524-e43822e49153,783-788
26b9b3d42d609b94f16792bcc19317d93b604c99,f23caebc-8e63-46d0-9a7b-04199132f360,299-303
d5cfd18105823bdd1e42ceeb86a0af7195bc6a52,837aeb5c-d6dc-43df-8eb7-5073c52e024f,512-526
ea2897d4b7040e1edc9536b3379c6236aac8b5fb,69575fb2-34a6-454f-b1f3-61c04f6bf654,1661-1673
1989a5d5c9fa7c2574e5faecf49e8a951c39fca2,e3c13484-f1ee-42d8-b435-75af1095ce5d,52-58
63e3eb23b8325cd9ca236f865422e4f57aa09952,f0ee443a-59c1-4e34-9b15-b895e6852e37,2800-2807
8d53b7eacff437a858953b5accea596b889cd6b9,6a22c83b-720c-40ac-b127-cc752fb18085,1-4
b36dccd352c4150c9e28b78888bc219ca932c41f,a363d44f-0340-4978-b667-b521de4fedce,72-76
9a5ae3df35f01f0f05a93720f5babc6876aa68bf,ed9a3386-4aa3-4aef-bb64-3d03f206ba35,1-5
01f2b9f07568fe7027b21314c8d153f98981cde5,ef611ad0-5bfa-4e0a-b6a8-af6f4bfbb453,1863-1875
75bb9a1838a30037d4776b6545d48f5af54cd38e,c824f020-5394-499a-92ef-0442ff684ad5,1-6
35456a188d311f8c763b802108e51884e1342c0e,69575fb2-34a6-454f-b1f3-61c04f6bf654,1033-1045
39683eb2beb09f3ff0e49e32fbb9b238c92ab568,906155f3-cfca-4d29-ab83-1e33af2bcd24,109-114
db7bc3156f5188bf1752d57f855a0722b8e43a8d,7f810a66-0d1c-43e1-8489-3c38d005dd9c,621-633
c56d1d9df5579b72e5159feaf46767fa9dd790f5,6c2ca620-d11b-441f-9401-2b54f3b0c061,
7853a672b5bd03f362bc281a229ee008fe964213,9367be5c-b225-4e58-ad0d-591816af0ad0,1298-1302
08b6d762747d881fd7c68783666985cb54e4d0db,edef7b0f-1acb-492d-850f-b1ee9fd13859,
bbc61133f84bd864fd8070ee32db1ee2515beb28,553a8233-b278-428f-8034-0738875a2399,1249-1257
f60de220030e156c9380f37acf680f165ade142d,1a35141c-49dc-401d-8723-8f91cadc7f16,406-415
a7e5393e4872631edac074e4e86765113762e2b6,60057d69-1c24-4730-bcbe-d77b0c3c372e,91-96
7ee40f84301ac435c14311e5bfe6627bfb0269f7,4aa4257a-8275-490a-869a-9149eecc2cdb,124-133
7045e1e30c2eb8f305dcb8ded655ff659f53fefd,749b0914-f8d0-448b-8b4d-27c5d627efdc,
791364c9f711e5207b6850cdeee1283432541ec6,760bb69d-db6c-4327-b796-3d92ef9882a2,33-38
1b83c79d00126657527696d5c192de9c3331073b,8094bbd7-f978-4346-8be8-05e3edcaeb2b,512-516
ce6bbaa29bedd687484f0a1f442462b9810f486b,d5105156-a43d-42c8-84bb-a5ca0553e6ed,8815-8819
3231538b5095600305b7d5c38f7239919f483036,fea45742-7a40-446b-b167-324294469a5a,80-89
770144a0d32d5e66982d0cd7f6ec305de2af3b84,b2b4c2cb-6e56-4a28-8a84-80ab566d7f8b,8036-8044
44304c7c50ecaec84632a9e97d87be1d5690876c,0bf1ee10-a228-4363-a71e-08512c096d44,151-160
cc5975bd6fed696154c42d24acf9801817546dff,64e6ba4e-87f0-46a2-8ae7-1f55a05f3eaf,200
d1fbdeacae886b612b040ddd98ffddb0f9fac6a2,2684c246-227c-4df0-811e-3d50230718dc,589-594
1e05a4cac35f146a29248cd017f180e36324dcce,92255d44-2ce2-4a0c-af25-61e2085a1b01,1-8
b057fff0d4c23926ad041986bcb7288dd62bb900,f4248227-62c2-40a5-9a89-3473825a98ee,
169713a684da9ac50ca3da967cc3ff7733523087,fab8a660-7d26-4116-9261-a914eb333d85,
380bb5b95fa8039539753dbcf2747fe07c489a09,a4820f34-489c-4ce3-acb8-4a87c6826a65,1206-1211
e730c9e2059cf295bcd84cda745d2848314e271d,797c41af-364e-44b6-a3f5-97e22f8daaf9,3014-3019
448d1cbe4741c39ef76288960933be83e6634a8a,5591ccec-6862-42ab-9c7b-21ba67cdd330,2259-2265
fa8f8ca51964784dc7f1531a8c0c8ba5f04935e8,841f9bee-1cf1-4635-9c49-84d18aeda18c,527-530
03c7e5863f9f0185aefdb31185229707ea242c6a,231e155d-c09d-47cd-85d2-2178d89e5f3b,1123-1126
dd78e9a55dda6f889358817e67b096c577ceb116,7f810a66-0d1c-43e1-8489-3c38d005dd9c,435-447
ed26016878ec049ae8b3179cc7a5fdd896a69d08,6a22c83b-720c-40ac-b127-cc752fb18085,1-6
219a13ad0161c815a07afad8e3aba89b0c21f039,a58374ea-abcf-45a9-b2a6-d4f30aa0955a,3263-3268
3207ccb36b5b08fd8cea20ed4c440617c7d7948d,4011f50b-fd81-42f3-8b4c-8f8b97ba6cf1,1566-1571
d2e9ca53ee93a497dbafdf53df6d42af7cfceb5e,0bf1ee10-a228-4363-a71e-08512c096d44,2002-2014
d30790a8096ec48a5744f4edbd8a8d59b6e08d0c,69575fb2-34a6-454f-b1f3-61c04f6bf654,2565-2577
3682b76f12d87aaaa771560a660837e1275dd08b,f9adaf4a-b6cb-43f1-a256-9fc7d973c44f,54-57
5c3be598c229a3808e1235d821d2bc59211fba5a,56e76585-df3a-45b7-9507-c6af87306fdb,16-21
b974027bad1d8cf54bbdcf49ce34136c4d3783bf,d32c29b1-7b30-4ac9-9b4b-00aa5cd19fd2,109-114
10dae5c6404b9687da1ffb9a57009aa8306ac2c8,42002d24-9d21-408d-887c-0cfdeaacce80,1024-1035
31c9b3cee2adf38db6a05b09b864c6bd7aa73d1b,81367517-74a6-4e1d-8a99-5c99169e1bc1,542-553
9f82c8138289c7a4db2b121d82e90b2e57ddd37e,4d5f876b-9913-4dd1-b2ec-df8af41381aa,129-136
11b117508f52b7968953f75b1c7e751474d2b9aa,8c5796d8-b6f8-4581-9bb0-1ec8e9ca7f54,2465-2468 vol.4
