authorId,name
67013319,Pan Li
2109374193,Archana Sharma
2336257121,Xingyuan Luo
4362168,Sanling Wu
48485120,R. Pandey
4361677,Qikang Gao
6502190,B. Lou
31892884,K. Matsuzaki
46909598,Ken-ichi Sugishita
35521005,N. Fujii
31694384,K. Miyajima
4468449,A. Hassanin
8227978,G. Casagrande
2203607453,Marcela de Oliveira Silva
143676751,R. Reis
38833220,L. F. Leal
83175424,O. Adaramoye
87842586,R. M. Anjos
134349927,Mônica M Almeida
40161183,R. Veras
13282169,Darìzy F Silvia
2151029547,F. A. Oliveira
5743208,K. V. Cavalcante
34649990,I. Araújo
144356239,A. P. Oliveira
2052897520,I. A. Medeiros
143671367,C. D. Della Corte
40164143,M. Fasano
48863697,F. Papaccio
41072041,F. Ciardiello
144307218,F. Morgillo
47435766,Mareike M. Menz
1710169,C. Büchel
144784140,J. Peters
4629852,Chandrakumar Shanmugam
39895061,A. Mohammed
66402140,Swarupa Ravuri
1947084655,Vishwas Luthra
1947084764,N. Rajagopal
52557952,Saritha Karre
5090467,Zhaohui Qian
81229947,Pei Li
48785024,Xiaolu Tang
2152960246,Jian Lu
145330953,Kee Chan
6271198,M. Petros
8786900,Emma Reble
1768246074,Mariana Gutierrez Salazar
21185834,Kathleen-Rose Zakoor
7440179,S. Khalouei
40545297,Marc Clausen
81390058,Rita Kodida
40998190,Salma Shickh
40989225,Chloe Mighton
32077432,I. Cohn
6148368,K. Schrader
2054540720,R. Kim
1398036014,J. Lerner-Ellis
5810467,Yvonne Bombard
4331613,Huifeng Qian
145292948,Rongchao Jin
2140296286,Anar Yeginbergenova
3242916,Rodrigo Agerri
2253420291,Giuseppe Gigliotti
2294944619,Rashmi Joshi
2315150459,Anam Khalid
2315227178,David Widmer
2053737593,M. Boccellino
2264313469,Davide Viggiano
46713694,S. Hamner
49632525,B. Brown
90046409,Nur A. Hasan
143666626,M. Franklin
144913459,John T. Doyle
143640303,Margaret J Eggers
2938130,R. Colwell
49765568,T. Ford
2312894193,Xiao-Xing Zhu
1442311294,Jin-bu Xu
2312895628,Feng Gao
2051953184,Linxi Wan
48167118,Muhammad Imran Khan
1685030,S. Foley
1396410265,B. O’Sullivan
8425769,E. Wiener
153256361,M. Brechbiel
48453274,H. Brothers
1786958,R. Magin
4750897,O. Gansow
6680562,D. Tomalia
2867513,P. Lauterbur
5433490,R. Sargis
48126260,Andrea J. Savio
5088236,B. Bapat
6669227,Jian Wang
46477512,Hong-mei Wu
1695456,Cheng He
144010790,Liang Zhao
2113227960,Chunying Duan
48838794,M. Haimel
6479486,J. Pazmandi
2004145,R. Heredia
4233389,J. Dmytrus
41074504,S. Bal
3692181,S. Zoghi
3657265,P. V. van Daele
32218554,T. Briggs
144401816,C. Wouters
1401396989,B. Bader-Meunier
145433939,F. Aeschlimann
143990854,R. Caorsi
4564799,D. Eleftheriou
3617253,E. Hoppenreijs
5482952,E. Salzer
40605784,S. Bakhtiar
3522755,B. Derfalvi
3704159,F. Saettini
13800349,Maaike A A Kusters
11665798,R. Elfeky
6236138,J. Trück
47631646,Jacques G. Rivière
35081055,M. van der Burg
3615353,M. Gattorno
31882234,M. Seidel
31968928,S. Burns
4849075,K. Warnatz
19870122,F. Hauck
1838145,P. Brogan
145514395,K. Gilmour
144220309,C. Schuetz
2242627793,A. Simon
2558577,C. Bock
2476640,S. Hambleton
3953123,E. de Vries
2149814981,Peter N. Robinson
5920701,M. V. van Gijn
143743349,K. Boztug
2315076578,Min Liu
2233847939,Subo Zhang
2303963248,Heng Zhou
2315000542,Xiaoyun Hu
