paperId,volumeId,pages
a3ba2a2dcde21dcafe79dcfc7fa038ec2c92984c,7843a400-7e2f-42b0-a222-e9a4f9026968,
eb50948766d23c4664884adfd2a2d2b62119420c,47805cca-917c-4166-a326-52c771e04752,"
          1156-1177
        "
603feb1b6877e8520a02045f7bc7e937cb18e181,0b08e43d-fbc9-465e-807c-2e68e1eb412a,1253-1258
a1edc0e4f1280cbda0c5ba3d39e0702352229371,cf69bd6a-1ba9-4228-9d19-58b9b258adfd,"
          224-30
        "
1945a360ce73ce27dffe894108a60f2d0a664d79,c35c598f-0dd0-486d-bd3d-c27555b4c6e6,796 - 803
731a28f8500c3bc1565a099383ad0746cfe52049,3063c889-d4d2-4ae4-8a53-f52d7d915d3c,2221 - 2228
ee83f20fb8a60e7b92ce1c56d43282a5e8386b5d,6a23e630-41f9-4142-8ee6-2b128fd901f0,"
          517-21
        "
70e39f84f45fdfc4ccff0953a348e20a7133a793,def34d36-82d4-4a2b-9f43-c03c4ee87b3c,
f141ad01ca81aeae247e86ea6b8b51e04819d46c,95ebf149-d054-4ea0-bd5b-a6beff2e8da0,1524 - 1535
4f688ef3450bf06a359cde48efb0819085abc8cd,2e4b4385-7870-4f93-9aaa-06bc7e400464,"
          489-509
        "
6ecec3d1079f0c088ff70e0b6987a4827cc719e6,03ca61ff-64df-4451-a365-7d733272f962,
b81a792b68bcf3142fdb1ee231b4490596ec4245,a6727e97-628a-4c22-9e2c-a44ff1d7dd7c,"
          39-48
        "
92f86a2c15496bdd4679267e96148c715e8fc390,46aadb7d-7b0a-41f2-9f3d-ca5a03777eb1,243 - 243
d96b48b459c7a5ce956b7bbee4d161d18a833990,86031be9-e967-40bf-8f08-477e672df293,"
          135-146
        "
e015fd1cb7d851e676b70f69c13d1be3aafa9b3f,d4276df4-41a9-47cb-9380-e2289b083af6,"
          197-216; discussion 216-23
        "
9e92ce920e9e6ec6436cd4a964d62fbad20a5714,49a6059d-d2a3-4aef-867f-4359a3707a60,
3010e9ca7dec02b3ac2598bff938a3b3d9d7df2a,6f0be59c-fc38-41a2-9cb7-35734d5f5bc1,"
          930-41
        "
7d8109859c799468925836451dc9e5c2d99e9b69,f889033f-9b5f-40db-ae35-68330e4d040e,
c523b22c7bc05636b5cdfc04049558eddb5bf7ab,79ff7a36-7927-42ee-b0b7-c0f96385d404,
3b522fd3cf2ff5416cccc3171c19213116a1e52a,981c9827-75aa-4c78-903c-c93b79825043,9432 - 9438
5ae21221796d4a3f78477adb9ac1629e476b418e,2e9a0ec7-1fd3-47d6-a0e3-e2172b3abd5b,344 - 355
dc5e06aeb1eb572504af3644da25a32717c37e38,768d7092-996f-4603-a767-0cd2c658c0c7,317 - 328
f9e9bf1caf9d28a253b9a9b2ced04d7db18a6ddf,fe5d9ce1-ed74-4ba7-9645-672ed1036b92,
e10ed1c6c0f2bf29a79677b6ed77bc9fdfb668ed,daa8be8a-78ab-4524-80e7-865b0a71cf15,257 - 271
b17e4b418c2ecc116cca35db1f53b8b260453670,883bbf71-c70a-41c4-ae45-71c300188b63,
3626512bf0b3e2d1c89d4399cec206500bdeec28,8467e59a-d500-4270-b14e-efd765a3d36b,120687
77af3d45f1ec583e91d680876215293ad63fe0ef,8887ce4e-2521-4578-b566-6cc0021bb103,199 - 216
ed5206e5aee1aeacc1c1aeed1554e5af85aef9c0,5f84d318-83cd-4074-83f4-df44d9981c3d,614-618
de5543183b53272dd732247138ed44edf33bb9e5,6d410434-8018-4964-9be4-2c599b79ccc8,"
          197-210
        "
f5fdf1d9967d71e5c07b89bd46423a0e3e1a8aee,9a4741ac-4cdf-4b78-a787-7b265b3d2756,"
          108574
        "
45233975bd40e7bbfc76854a78ffec3769744621,8d67c900-02fd-43a5-804c-7aa4acbc4861,383-387
cfce09d236d5479e571eda1ea0d1ad3a811b471a,fc7fe3e2-52f4-44c2-9c0c-6034dfe193dd,571 - 591
cbe76c0f322eeb384e2131a3f84853bdbe447ce7,6cf56052-f13a-447d-b1c4-61377597484e,"
          a001594
        "
c4db384c868fd70b47719fb84cd8689f0da9de76,cc57baa8-2250-4cd2-858a-da8f88edcb71,
c925f48cbf9623cb7fd20a45a8f8449c8b1fc83c,37fc51e7-e9d8-4f95-a007-c8eabe3160b3,"
          99-126
        "
d710bd3b5deb3bab8cd58d34e7e1c5c71a1d9402,953e72f1-8834-4abf-acff-0bea852126d5,"
          200602
        "
ee9eae4adefc5d9e2abbcfedfa14c292d2576d5a,f1ce963a-2bf6-4299-937c-669d09d0380e,
67fb1261c84d51ce97baa592c10feff6855eb347,5ff59b3a-6bea-469c-b6c1-4c9bb1e9da63,1824 - 1834
7ae3f62b61d6728c564f9a1991c039c44864341d,c0d3ba6d-6316-4c52-86d0-5842e5d8bffc,"
          586-91
        "
86a73062e7dab003e45f3122d292fe3925d6cec2,7c4b4cf0-46ff-4634-99ee-1bc169685067,5946-5953
49f696b53d73f0a33b879d32d3e32a6bcf38a283,7a943556-232f-4043-9fc8-33f303874f1c,
30a9d320adf23e75ff8b5fbcf98e3b79b77ad36e,d59ff367-68a3-478c-aac3-a6d03a86aa5d,643 - 669
25d5765cb0611e14c979de6ea0b6fab6938f2ecf,2ab41269-d738-4798-9fd4-441104433ed2,114807-114821
90c2f5b54f4e715f18365ad1edf69f2a62092fb0,aa41e438-9f2b-4db6-8d5b-428b49d44426,"
          565-70
        "
79e70ec1d5738fa4b5f4fc58375b4f26c7af517f,3ebe64c3-cef4-49c2-a411-69909786a550,
38584e9fc020a4f2765466748c15710988ba00e9,d005bf88-8e11-4bbf-8c1c-3a3d9e627eec,
88e0306743ffcb00ac0ee9489b6c1441fe959980,b2faee96-b42d-420a-937c-803a5be4b875,13 - 32
fc02530922f86b6507163d13b6cdecddd34ec438,7e10bf62-0c8f-4d5c-85ea-7d0221381af6,
2d9e981d29c7813690965c8dc0820f25ac359619,3e6f6989-a343-4867-b570-968689b624cf,
b6545e43c6fcf93a377177d00db190a56c621af2,b1e13b98-c9ea-4bfb-bf1b-fe63d9b6b603,
b502629ba513304b96c5327bb7dd3a885c9f7375,e51a7c09-6cd3-40af-a3c1-004dd8a9a1c3,
2a102856fdd0e3d64f8eed278b3137c112e42725,9256b835-b1ec-4259-87d6-77a0c4e95f6e,816 - 823
6b4563d26a27f0ac544b33a898045d1e14aba492,76315c1f-4a25-4ea6-9012-099ecb49d044,52–61
697d9d8c0bcf1e6636d90d0a630cdc1f3880d864,f026afa9-4709-41d6-84e2-0ed9643bc8a3,2021 - 2031
ec029cb0e6f039c3930b7a6ead1824ec4af66c6b,28366431-a361-4c62-a410-f6cb73050e6b,"
          1315-1320
        "
2dbb81499f41f951733295b284c834e1515ac741,0a92b171-aeb0-4d92-897b-120126b24208,
5f3cad2975cbf19ab04fb3ba21186ce1dd3c9ffb,f1ce963a-2bf6-4299-937c-669d09d0380e,
519b13fc92ccb472f4ed0f21301676f7b3014798,88fb6b13-5f74-404d-8b48-2bc585ec25df,"
          223-32
        "
5b55027b21555e098e7f586c25fbc1307d418da2,dca1775c-9c26-4d29-ba1b-e1322bf4a4e8,"
          102283
        "
93b6cabcf7e8f4c9b8414589a7dd17332cb889af,9ad4df98-07bf-41fc-a814-7cf251f98ad1,"
          243-50
        "
e3f6890beab624d6216a953046c4e0b1e6c64c64,ccedc30b-7874-4358-935c-25333a229cfa,"
          135-43
        "
c40174f651d9174fef47938f1db033156c757d0c,70e39d95-92fc-423e-ab88-684356eb32b2,220 - 225
3655c2ccc637d2a55cc51686112b7b29ec94a837,982fa499-022a-43c1-8426-f09ff63d0320,402 - 421
d7829924d4af85ec937b29adf9e3b0d4396fcaed,72d464d6-5f64-4b13-966c-c8c8e157978f,166-180
ae39385c7824c23627c2c839f355294df93be67c,b2128f8a-ace5-40a6-9064-dcae6744c5e9,955 - 969
e723d2645046206b6e033b42a5abb01cd8ac4914,b333e541-df20-4adc-b98e-7eb7e7fe4939,
4d6d465b2681cef8aaa93ba51449efc7c93b33a3,41f8b970-f155-45cc-be62-b18202f213f9,10252 - 10270
f2efdeefb31c8d6483e58d13970b86668b6d8360,9914a595-5656-47fb-9075-3e01b96983f4,310 - 320
72511231d41691d0c40dc526984bad543d153d06,f4c54d16-5dab-4886-a39a-dd26e0738568,
f94b88c410deba55fac2f562d73b4afad92ecb8b,0a746176-e338-4b1e-8996-460e588cb06a,1105 - 1112
ed7d09e29e4ff961d125c270c8f67cdb97fdd6a9,444e65b2-e238-4c7d-b8f3-066d678db7c4,
b98f18b795ea22c451c9d8ed01db942f3460f404,52c558f2-847b-4bec-a71c-0aeb607fbbd6,
